2026-07-11 22:28:05 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | warehouse.create | warehouse#2 | Filial ombori | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | stock.transfer | product#1 | 25.00 dona: 1 -> 2 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | inventory.count_start | inventory_count#1 | ombor #2 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | stock.adjust | product#1 | 25.00 -> 23.00 (farq -2.00) | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | inventory.count_complete | inventory_count#1 | 1 ta pozitsiya tuzatildi | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | lead.create | lead#1 | Yangi Savdo MChJ | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | lead.status | lead#1 | new -> contacted | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | customer.create | customer#2 | Yangi Savdo MChJ | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | lead.status | lead#1 | contacted -> won | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | crm.activity_create | activity#1 | Qo'ng'iroq qilish | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | product.create | product#1 | Olma sharbati 1L | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | product.create | product#2 | Non (buxanka) | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | supplier.create | supplier#1 | Agro Distribyutor MChJ | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | customer.create | customer#1 | Do'kon Baraka | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | purchase.create | purchase#1 | PUR-2026-000001, 2 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | purchase.receive | purchase#1 | PUR-2026-000001 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | purchase.create | purchase#2 | PUR-2026-000002, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | purchase.receive | purchase#2 | PUR-2026-000002 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | invoice#1 | INV-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.confirm | invoice#1 | INV-2026-000001 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 100000.00 (cash) | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 185000.00 (bank) | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | invoice#2 | INV-2026-000002, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | return#3 | RET-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.confirm | return#3 | RET-2026-000001 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | pos#4 | POS-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.confirm | pos#4 | POS-2026-000001 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.payment | pos#4 | 12000.00 (cash) | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | quotation#5 | QUO-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | order#6 | ORD-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.convert | quotation#5 | -> order #6 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.create | invoice#7 | INV-2026-000003, 1 pozitsiya | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | sale.convert | order#6 | -> invoice #7 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | warehouse.create | warehouse#2 | Filial ombori | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | stock.transfer | product#1 | 25.00 dona: 1 -> 2 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | inventory.count_start | inventory_count#1 | ombor #2 | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | stock.adjust | product#1 | 25.00 -> 23.00 (farq -2.00) | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | inventory.count_complete | inventory_count#1 | 1 ta pozitsiya tuzatildi | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | lead.create | lead#1 | Yangi Savdo MChJ | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | lead.status | lead#1 | new -> contacted | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | customer.create | customer#2 | Yangi Savdo MChJ | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | lead.status | lead#1 | contacted -> won | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | crm.activity_create | activity#1 | Qo'ng'iroq qilish | ip=
2026-07-12 07:58:08 | INFO     | uzerp.audit | admin | crm.activity_done | activity#1 |  | ip=
2026-07-12 07:58:25 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#1 | JRN-2026-000001: Ustav kapitali kiritildi | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | product.create | product#1 | Shakar 1kg | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | supplier.create | supplier#1 | Optom Bazar MChJ | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | customer.create | customer#1 | Mini Market | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | purchase.create | purchase#1 | PUR-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | purchase.receive | purchase#1 | PUR-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | journal.post | journal#2 | JRN-2026-000002: Xarid PUR-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#3 | JRN-2026-000003: To'lov PAY-2026-000001 (PUR-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payment.create | payment#1 | PAY-2026-000001: out 1200000.00 (bank) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.create | invoice#1 | INV-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.confirm | invoice#1 | INV-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | journal.post | journal#4 | JRN-2026-000004: Savdo INV-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | journal.post | journal#5 | JRN-2026-000005: Tannarx INV-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#6 | JRN-2026-000006: To'lov PAY-2026-000002 (INV-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payment.create | payment#2 | PAY-2026-000002: in 720000.00 (cash) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 720000.00 (cash) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.create | pos#2 | POS-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.confirm | pos#2 | POS-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | journal.post | journal#7 | JRN-2026-000007: Savdo POS-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | system | journal.post | journal#8 | JRN-2026-000008: Tannarx POS-2026-000001 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#9 | JRN-2026-000009: To'lov PAY-2026-000003 (POS-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payment.create | payment#3 | PAY-2026-000003: in 90000.00 (cash) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | sale.payment | pos#2 | 90000.00 (cash) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#10 | JRN-2026-000010: To'lov PAY-2026-000004 (Ofis ijarasi) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payment.create | payment#4 | PAY-2026-000004: out 50000.00 (cash) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | department.create | department#2 | Savdo bo'limi | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | employee.create | employee#1 | Aliyev Alisher | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | employee.create | employee#2 | Karimova Nilufar | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | leave.request | leave#1 | xodim #1, 10 kun | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | leave.approved | leave#1 |  | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payroll.create | payroll#1 | 2026-07: 2 xodim, jami 7000000.00 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#11 | JRN-2026-000011: Ish haqi 2026-07 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payroll.approve | payroll#1 | 2026-07 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#12 | JRN-2026-000012: To'lov PAY-2026-000005 (Ish haqi 2026-07) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payment.create | payment#5 | PAY-2026-000005: out 6153000.00 (bank) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | payroll.pay | payroll#1 | 2026-07 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | asset.create | asset#1 | Kompyuter (12000000.00) | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | journal.post | journal#13 | JRN-2026-000013: Amortizatsiya 2026-07 | ip=
2026-07-12 08:16:59 | INFO     | uzerp.audit | admin | asset.depreciation | asset# | 2026-07: 1 ta aktiv, jami 500000.00 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#1 | JRN-2026-000001: Ustav kapitali kiritildi | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | product.create | product#1 | Shakar 1kg | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | supplier.create | supplier#1 | Optom Bazar MChJ | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | customer.create | customer#1 | Mini Market | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | purchase.create | purchase#1 | PUR-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | purchase.receive | purchase#1 | PUR-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | journal.post | journal#2 | JRN-2026-000002: Xarid PUR-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#3 | JRN-2026-000003: To'lov PAY-2026-000001 (PUR-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payment.create | payment#1 | PAY-2026-000001: out 1200000.00 (bank) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.create | invoice#1 | INV-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.confirm | invoice#1 | INV-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | journal.post | journal#4 | JRN-2026-000004: Savdo INV-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | journal.post | journal#5 | JRN-2026-000005: Tannarx INV-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#6 | JRN-2026-000006: To'lov PAY-2026-000002 (INV-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payment.create | payment#2 | PAY-2026-000002: in 720000.00 (cash) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 720000.00 (cash) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.create | pos#2 | POS-2026-000001, 1 pozitsiya | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.confirm | pos#2 | POS-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | journal.post | journal#7 | JRN-2026-000007: Savdo POS-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | system | journal.post | journal#8 | JRN-2026-000008: Tannarx POS-2026-000001 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#9 | JRN-2026-000009: To'lov PAY-2026-000003 (POS-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payment.create | payment#3 | PAY-2026-000003: in 90000.00 (cash) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | sale.payment | pos#2 | 90000.00 (cash) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#10 | JRN-2026-000010: To'lov PAY-2026-000004 (Ofis ijarasi) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payment.create | payment#4 | PAY-2026-000004: out 50000.00 (cash) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | department.create | department#2 | Savdo bo'limi | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | employee.create | employee#1 | Aliyev Alisher | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | employee.create | employee#2 | Karimova Nilufar | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | leave.request | leave#1 | xodim #1, 10 kun | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | leave.approved | leave#1 |  | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payroll.create | payroll#1 | 2026-07: 2 xodim, jami 7000000.00 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#11 | JRN-2026-000011: Ish haqi 2026-07 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payroll.approve | payroll#1 | 2026-07 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#12 | JRN-2026-000012: To'lov PAY-2026-000005 (Ish haqi 2026-07) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payment.create | payment#5 | PAY-2026-000005: out 6153000.00 (bank) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | payroll.pay | payroll#1 | 2026-07 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | asset.create | asset#1 | Kompyuter (12000000.00) | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | journal.post | journal#13 | JRN-2026-000013: Amortizatsiya 2026-07 | ip=
2026-07-12 08:18:20 | INFO     | uzerp.audit | admin | asset.depreciation | asset# | 2026-07: 1 ta aktiv, jami 500000.00 | ip=
2026-07-12 09:10:56 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 09:11:50 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 09:11:50 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091150.csv (1 qator) | ip=
2026-07-12 09:11:50 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091150.json (1 qator) | ip=
2026-07-12 09:11:50 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091150.xlsx (1 qator) | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091150.pdf (1 qator) | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091151.docx (1 qator) | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | product.create | product#2 | Guruch 1kg | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | product.create | product#3 | Yog' 1L | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | import.products | # | import_test.csv: +2/~0, xato 1 | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | product.update | product#2 | ['cost_price', 'name', 'sale_price', 'sku', 'vat_rate'] | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | product.update | product#3 | ['cost_price', 'name', 'sale_price', 'sku', 'vat_rate'] | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | import.products | # | import_test.csv: +0/~2, xato 1 | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | customer.create | customer#2 | Import Mijoz MChJ | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | import.customers | # | import_cust.json: +1/~0, xato 0 | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | backup.create | backup# | uzerp_backup_20260712_091151.zip | ip=
2026-07-12 09:11:51 | INFO     | uzerp.audit | admin | backup.create | backup# | uzerp_backup_20260712_091151.zip | ip=
2026-07-12 09:12:39 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#1 | JRN-2026-000001: Ustav kapitali kiritildi | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | product.create | product#1 | Shakar 1kg | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | supplier.create | supplier#1 | Optom Bazar MChJ | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | customer.create | customer#1 | Mini Market | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | purchase.create | purchase#1 | PUR-2026-000001, 1 pozitsiya | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | purchase.receive | purchase#1 | PUR-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | journal.post | journal#2 | JRN-2026-000002: Xarid PUR-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#3 | JRN-2026-000003: To'lov PAY-2026-000001 (PUR-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payment.create | payment#1 | PAY-2026-000001: out 1200000.00 (bank) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.create | invoice#1 | INV-2026-000001, 1 pozitsiya | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.confirm | invoice#1 | INV-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | journal.post | journal#4 | JRN-2026-000004: Savdo INV-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | journal.post | journal#5 | JRN-2026-000005: Tannarx INV-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#6 | JRN-2026-000006: To'lov PAY-2026-000002 (INV-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payment.create | payment#2 | PAY-2026-000002: in 720000.00 (cash) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 720000.00 (cash) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.create | pos#2 | POS-2026-000001, 1 pozitsiya | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.confirm | pos#2 | POS-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | journal.post | journal#7 | JRN-2026-000007: Savdo POS-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | journal.post | journal#8 | JRN-2026-000008: Tannarx POS-2026-000001 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#9 | JRN-2026-000009: To'lov PAY-2026-000003 (POS-2026-000001 bo'yicha to'lov) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payment.create | payment#3 | PAY-2026-000003: in 90000.00 (cash) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | sale.payment | pos#2 | 90000.00 (cash) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#10 | JRN-2026-000010: To'lov PAY-2026-000004 (Ofis ijarasi) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payment.create | payment#4 | PAY-2026-000004: out 50000.00 (cash) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | department.create | department#2 | Savdo bo'limi | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | employee.create | employee#1 | Aliyev Alisher | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | employee.create | employee#2 | Karimova Nilufar | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | leave.request | leave#1 | xodim #1, 10 kun | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | leave.approved | leave#1 |  | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payroll.create | payroll#1 | 2026-07: 2 xodim, jami 7000000.00 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#11 | JRN-2026-000011: Ish haqi 2026-07 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payroll.approve | payroll#1 | 2026-07 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#12 | JRN-2026-000012: To'lov PAY-2026-000005 (Ish haqi 2026-07) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payment.create | payment#5 | PAY-2026-000005: out 6153000.00 (bank) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | payroll.pay | payroll#1 | 2026-07 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | asset.create | asset#1 | Kompyuter (12000000.00) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | journal.post | journal#13 | JRN-2026-000013: Amortizatsiya 2026-07 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | asset.depreciation | asset# | 2026-07: 1 ta aktiv, jami 500000.00 | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091417.csv (1 qator) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091417.json (1 qator) | ip=
2026-07-12 09:14:17 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091417.xlsx (1 qator) | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091417.pdf (1 qator) | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | export | file# | savdo_hisoboti_20260712_091418.docx (1 qator) | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | product.create | product#2 | Guruch 1kg | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | product.create | product#3 | Yog' 1L | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | import.products | # | import_test.csv: +2/~0, xato 1 | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | product.update | product#2 | ['cost_price', 'name', 'sale_price', 'sku', 'vat_rate'] | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | product.update | product#3 | ['cost_price', 'name', 'sale_price', 'sku', 'vat_rate'] | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | import.products | # | import_test.csv: +0/~2, xato 1 | ip=
2026-07-12 09:14:18 | INFO     | uzerp.audit | admin | customer.create | customer#2 | Import Mijoz MChJ | ip=
